n_signals,hr,excess_hr,avg_ev_usd,median_hold_min,compounding,trades_per_month,direction,threshold,dynamic_sizing,ewma,fee_aware,late_entry_frac
7453,0.19374748423453642,-0.3043486110299332,11.01334985124796,12.0,-402.2277276016846,1330.8928571428573,NO,0.08,True,True,False,0.0
6856,0.19894982497082847,-0.29914627029364116,10.911778104925682,13.0,-361.5748861691447,1224.2857142857144,NO,0.08,True,True,False,0.25
6727,0.1983053367028393,-0.2997907585616303,10.927716269950396,13.0,-362.8831402982435,1201.25,NO,0.08,True,True,False,0.33
7159,0.17893560553149881,-0.31916048973297084,11.399002988769599,12.0,-436.5733651635964,1278.392857142857,NO,0.08,True,True,True,0.0
6569,0.18374181762825392,-0.3143542776362157,11.317607663919746,12.0,-426.9286058113909,1173.0357142857144,NO,0.08,True,True,True,0.25
6442,0.1828624650729587,-0.31523363019151096,11.339368623884745,13.0,-395.9501909967035,1150.357142857143,NO,0.08,True,True,True,0.33
6898,0.1767178892432589,-0.3213782060212107,6.1409363629318285,12.0,-236.82757339313395,1231.7857142857144,NO,0.1,False,False,False,0.0
6349,0.1801858560403213,-0.3179102392241483,6.078728929657684,13.0,-214.06044940130496,1133.75,NO,0.1,False,False,False,0.25
6236,0.17880051314945478,-0.31929558211501485,6.080427586269194,13.0,-215.05332911992807,1113.5714285714287,NO,0.1,False,False,False,0.33
6635,0.16428033157498115,-0.3338157636894885,6.292567829428044,12.0,-252.06700026581154,1184.8214285714287,NO,0.1,False,False,True,0.0
6094,0.1668854611092878,-0.3312106341551818,6.236181582132549,13.0,-228.79270041507542,1088.2142857142858,NO,0.1,False,False,True,0.25
5981,0.16518976759739173,-0.3329063276670779,6.240927439407093,13.0,-230.1390537330146,1068.0357142857144,NO,0.1,False,False,True,0.33
6940,0.1739193083573487,-0.32417678690712093,6.1028980584743655,12.0,-237.41014601015118,1239.2857142857144,NO,0.1,False,True,False,0.0
6383,0.1775027416575278,-0.32059335360694186,6.046602274961016,13.0,-214.726209370019,1139.8214285714287,NO,0.1,False,True,False,0.25
6266,0.17618895627194384,-0.32190713899252577,6.051284970012431,13.0,-215.77312599786544,1118.9285714285716,NO,0.1,False,True,False,0.33
6685,0.16215407629020195,-0.3359420189742677,6.247698766263279,12.0,-251.86374449778324,1193.75,NO,0.1,False,True,True,0.0
6137,0.16473847156591168,-0.3333576236985579,6.196445084076327,13.0,-228.80849079946657,1095.892857142857,NO,0.1,False,True,True,0.25
6023,0.16320770380209199,-0.33488839146237764,6.202289808568738,13.0,-230.07598420154764,1075.5357142857144,NO,0.1,False,True,True,0.33
6898,0.1767178892432589,-0.3213782060212107,11.789168953808797,12.0,-454.65383626272296,1231.7857142857144,NO,0.1,True,False,False,0.0
6349,0.1801858560403213,-0.3179102392241483,11.66645126111235,13.0,-410.83026217666276,1133.75,NO,0.1,True,False,False,0.25
6236,0.17880051314945478,-0.31929558211501485,11.671284509699346,13.0,-412.79146134141143,1113.5714285714287,NO,0.1,True,False,False,0.33
6635,0.16428033157498115,-0.3338157636894885,12.158160935051914,12.0,-487.0302933112872,1184.8214285714287,NO,0.1,True,False,True,0.0
6094,0.1668854611092878,-0.3312106341551818,12.05081454824802,13.0,-442.1196474769903,1088.2142857142858,NO,0.1,True,False,True,0.25
5981,0.16518976759739173,-0.3329063276670779,12.06311570016824,13.0,-444.83677454393506,1068.0357142857144,NO,0.1,True,False,True,0.33
6940,0.1739193083573487,-0.32417678690712093,11.698855820732454,12.0,-455.099698854566,1239.2857142857144,NO,0.1,True,True,False,0.0
6383,0.1775027416575278,-0.32059335360694186,11.591260737678374,13.0,-411.62745073013,1139.8214285714287,NO,0.1,True,True,False,0.25
6266,0.17618895627194384,-0.32190713899252577,11.60339400625893,13.0,-413.74693297748314,1118.9285714285716,NO,0.1,True,True,False,0.33
6685,0.16215407629020195,-0.3359420189742677,12.05121380043508,12.0,-485.82109142504623,1193.75,NO,0.1,True,True,True,0.0
6137,0.16473847156591168,-0.3333576236985579,11.95708546029138,13.0,-441.5245582600592,1095.892857142857,NO,0.1,True,True,True,0.25
6023,0.16320770380209199,-0.33488839146237764,11.972084802606501,13.0,-444.1084307441799,1075.5357142857144,NO,0.1,True,True,True,0.33
6416,0.1622506234413965,-0.3358454718230731,6.423365874144315,12.0,-258.8710011233069,1145.7142857142858,NO,0.12,False,False,False,0.0
5905,0.16443691786621506,-0.33365917739825457,6.356655496567904,13.0,-234.93671379569804,1054.4642857142858,NO,0.12,False,False,False,0.25
5800,0.16258620689655173,-0.3355098883679179,6.3584122779352485,13.0,-236.3051291336035,1035.7142857142858,NO,0.12,False,False,False,0.33
6167,0.15258634668396304,-0.3455097485805066,6.572189996405972,12.0,-272.49068559378577,1101.25,NO,0.12,False,False,True,0.0
5663,0.15415857319441992,-0.3439375220700497,6.511252987934882,13.0,-248.0637287898311,1011.2500000000001,NO,0.12,False,False,True,0.25
5563,0.1520762178680568,-0.3460198773964128,6.512563452569736,13.0,-249.6158482037028,993.3928571428572,NO,0.12,False,False,True,0.33
6450,0.1613953488372093,-0.33670074642726033,6.386017042384787,12.0,-258.02120458417954,1151.7857142857144,NO,0.12,False,True,False,0.0
5943,0.16321723035503954,-0.3348788649094301,6.318293029386819,13.0,-234.37249453065849,1061.25,NO,0.12,False,True,False,0.25
