min_hr,min_mkts,min_mos,direction,entry_lo,entry_hi,n_windows,avg_HR,std_HR,min_HR,avg_ROI,std_ROI,min_ROI,total_PnL,avg_PnL,total_signals,avg_signals,avg_sharpe,min_sharpe,worst_dd,avg_pf,min_pf,avg_pct_pos_wk,avg_pool,avg_hhi,avg_top3,pos_windows,win_rate_windows,stability_score
0.75,50,3,ALL,0.0,0.5,5,0.30622,0.08096985241434,0.1694,148.296,204.85219203123017,-10.71,305977.0,61195.4,2542,508.4,1.422,-2.18,20716.5,8.538,0.41,0.4244,108.4,0.31894,0.5592,4,0.8,42.656903984384904
0.6,50,6,NO,0.0,0.5,5,0.33486000000000005,0.03758647363081565,0.2846,132.244,179.70858710701611,-0.77,912570.0,182514.0,9836,1967.2,3.3839999999999995,-0.25,19587.5,61.28000000000001,0.91,0.5578000000000001,269.2,0.34458,0.6298,4,0.8,42.15870644649194
0.6,30,6,NO,0.0,0.5,5,0.33476,0.03656949548462487,0.2865,130.624,177.3083736883287,-0.55,912188.0,182437.6,9935,1987.0,3.396,-0.17,20175.6,56.486000000000004,0.94,0.5578000000000001,306.2,0.34144,0.6264000000000001,4,0.8,41.80481315583565
0.6,10,6,NO,0.0,0.5,5,0.33472,0.03678059270865549,0.2863,130.464,176.9789755309935,-0.61,911892.0,182378.4,9940,1988.0,3.3920000000000003,-0.19,20175.6,56.472,0.93,0.5578000000000001,311.4,0.3412,0.6264000000000001,4,0.8,41.79151223450325
0.75,30,3,ALL,0.0,0.5,5,0.30623999999999996,0.06718097200844893,0.1924,125.15599999999999,164.581436164593,-6.95,308113.0,61622.6,2994,598.8,1.7759999999999998,-1.6,22002.2,6.787999999999999,0.49,0.48440000000000005,182.0,0.29132,0.5334,4,0.8,40.7802819177035
0.85,10,9,ALL,0.3,0.8,3,0.8977,0.09910484347396954,0.7833,36.33,8.118497397917915,27.43,4353.0,1451.0,128,42.666666666666664,10.290000000000001,6.49,171.8,inf,9.65,0.9333333333333332,8.0,0.2427,0.749,3,1.0,40.49975130104104
0.85,50,9,ALL,0.3,0.8,3,0.8977,0.09910484347396954,0.7833,36.33,8.118497397917915,27.43,4353.0,1451.0,128,42.666666666666664,10.290000000000001,6.49,171.8,inf,9.65,0.9333333333333332,8.0,0.2427,0.749,3,1.0,40.49975130104104
0.85,30,9,ALL,0.3,0.8,3,0.8977,0.09910484347396954,0.7833,36.33,8.118497397917915,27.43,4353.0,1451.0,128,42.666666666666664,10.290000000000001,6.49,171.8,inf,9.65,0.9333333333333332,8.0,0.2427,0.749,3,1.0,40.49975130104104
0.65,50,3,NO,0.0,0.7,5,0.50076,0.020135615212851083,0.4686,57.965999999999994,42.75327507922638,11.78,719794.0,143958.8,16087,3217.4,4.514,2.47,7373.2,96.76599999999999,6.26,0.6890000000000001,352.6,0.29144,0.583,5,1.0,40.12336246038681
0.75,10,3,NO,0.0,0.7,5,0.53682,0.08450444958698917,0.438,116.77799999999999,151.9887096793706,-4.34,351083.0,70216.6,3558,711.6,2.938,-1.73,11900.0,72.188,0.47,0.6622,435.8,0.29724,0.49960000000000004,4,0.8,39.48164516031469
0.65,30,3,NO,0.0,0.7,5,0.4986,0.02251321833945559,0.464,52.56,38.53905810992272,11.53,714938.0,142987.6,17411,3482.2,4.438,2.36,8490.3,68.422,5.66,0.6446,586.0,0.26742,0.5548,5,1.0,36.74947094503864
0.55,50,6,NO,0.0,0.5,5,0.33096000000000003,0.024320115131306417,0.2988,76.566,78.64732627368842,-2.07,1028104.0,205620.8,17486,3497.2,3.624,-1.02,38846.5,18.904,0.7,0.6,394.2,0.22284,0.567,4,0.8,36.62133686315579
0.6,50,9,NO,0.0,1.0,5,0.65054,0.029285201040798736,0.6221,70.266,69.60223904444454,3.62,722645.0,144529.0,15720,3144.0,4.204,1.61,10962.9,101.40200000000002,2.58,0.7246,110.4,0.46158,0.6562,5,1.0,36.55088047777773
0.6,10,9,NO,0.0,1.0,5,0.65056,0.029298515320746205,0.6221,70.264,69.60411934648695,3.62,722660.0,144532.0,15721,3144.2,4.204,1.61,10962.9,101.40200000000002,2.58,0.7246,110.6,0.46158,0.6562,5,1.0,36.54794032675652
0.6,30,9,NO,0.0,1.0,5,0.65056,0.029298515320746205,0.6221,70.264,69.60411934648695,3.62,722660.0,144532.0,15721,3144.2,4.204,1.61,10962.9,101.40200000000002,2.58,0.7246,110.6,0.46158,0.6562,5,1.0,36.54794032675652
0.55,30,6,NO,0.0,0.5,5,0.33087999999999995,0.024333043377267844,0.2984,75.94800000000001,78.06549026298369,-1.93,1026882.0,205376.4,17600,3520.0,3.6440000000000006,-0.91,39434.7,18.75,0.72,0.6,435.4,0.2212,0.5648,4,0.8,36.33625486850816
0.55,10,6,NO,0.0,0.5,5,0.3309,0.024488466673109596,0.2982,75.914,77.99727033685218,-1.94,1026686.0,205337.2,17606,3521.2,3.6420000000000003,-0.92,39434.7,18.753999999999998,0.72,0.6,441.0,0.22112000000000004,0.5644,4,0.8,36.33336483157391
0.85,30,9,ALL,0.0,1.0,3,0.9028,0.040309924336321974,0.8571,45.913333333333334,27.75489926721647,14.03,14395.0,4798.333333333333,343,114.33333333333333,4.966666666666667,3.15,147.0,711.1533333333333,9.21,0.8546666666666667,8.0,0.4463333333333333,0.8490000000000001,3,1.0,36.244883699725094
0.85,50,9,ALL,0.0,1.0,3,0.9028,0.040309924336321974,0.8571,45.913333333333334,27.75489926721647,14.03,14395.0,4798.333333333333,343,114.33333333333333,4.966666666666667,3.15,147.0,711.1533333333333,9.21,0.8546666666666667,8.0,0.4463333333333333,0.8490000000000001,3,1.0,36.244883699725094
0.85,10,9,ALL,0.0,1.0,3,0.9028,0.040309924336321974,0.8571,45.913333333333334,27.75489926721647,14.03,14395.0,4798.333333333333,343,114.33333333333333,4.966666666666667,3.15,147.0,711.1533333333333,9.21,0.8546666666666667,8.0,0.4463333333333333,0.8490000000000001,3,1.0,36.244883699725094
0.65,50,3,ALL,0.0,0.5,5,0.31432,0.03598884549412496,0.282,66.014,60.75984512817654,1.92,679207.0,135841.4,13742,2748.4,2.752,0.51,23314.8,20.436,1.2,0.6202,352.6,0.2355,0.5456,5,1.0,36.21007743591172
0.6,50,3,NO,0.0,0.5,5,0.30916,0.03486341922416673,0.2818,73.536,76.11926385613566,-4.33,1017720.0,203544.0,18336,3667.2,2.816,-1.88,40359.0,inf,0.54,0.6022000000000001,561.2,0.22098,0.527,4,0.8,34.17736807193217
0.75,50,6,NO,0.0,0.5,5,0.42214,0.1752623833000111,0.1296,311.446,554.0683002392394,-1.73,250514.0,50102.8,674,134.8,3.19,-0.29,9290.1,inf,0.9,0.6778000000000001,61.8,0.33848,0.6058,4,0.8,33.89284988038032
0.75,30,6,NO,0.0,0.5,5,0.42519999999999997,0.17555509106830255,0.1333,306.196,543.6157627681523,-1.73,250962.0,50192.4,685,137.0,3.198,-0.29,9353.5,inf,0.9,0.6556,72.2,0.33396,0.5974,4,0.8,33.869118615923874
0.75,10,6,NO,0.0,0.5,5,0.42519999999999997,0.17555509106830255,0.1333,306.196,543.6157627681523,-1.73,250962.0,50192.4,685,137.0,3.198,-0.29,9353.5,inf,0.9,0.6556,74.2,0.33396,0.5974,4,0.8,33.869118615923874
0.65,50,9,ALL,0.0,0.7,5,0.49476000000000003,0.018117063779763,0.4652,69.076,74.49425769816087,6.56,335667.0,67133.4,6614,1322.8,4.3,2.66,1884.5,inf,5.25,0.7468,72.4,0.37138,0.5988,5,1.0,33.79687115091956
0.65,10,9,ALL,0.0,0.7,5,0.49458,0.01786972299729351,0.4652,69.03200000000001,74.5202446990078,6.56,335467.0,67093.4,6616,1323.2,4.298,2.66,1884.5,inf,5.25,0.7468,72.6,0.37126000000000003,0.5986,5,1.0,33.739877650496105
0.65,30,9,ALL,0.0,0.7,5,0.49458,0.01786972299729351,0.4652,69.03200000000001,74.5202446990078,6.56,335467.0,67093.4,6616,1323.2,4.298,2.66,1884.5,inf,5.25,0.7468,72.6,0.37126000000000003,0.5986,5,1.0,33.739877650496105
0.55,30,9,NO,0.0,0.7,5,0.47695999999999994,0.008730005727374967,0.4655,67.946,68.5346804909748,-0.25,663787.0,132757.4,14465,2893.0,3.44,-0.1,25532.1,162.76600000000002,0.95,0.6378,146.0,0.43984000000000006,0.619,4,0.8,33.6036597545126
0.55,10,9,NO,0.0,0.7,5,0.47695999999999994,0.008730005727374967,0.4655,67.946,68.5346804909748,-0.25,663787.0,132757.4,14465,2893.0,3.44,-0.1,25532.1,162.76600000000002,0.95,0.6378,146.0,0.43984000000000006,0.619,4,0.8,33.6036597545126
0.55,50,9,NO,0.0,0.7,5,0.47695999999999994,0.008730005727374967,0.4655,67.946,68.5346804909748,-0.25,663787.0,132757.4,14465,2893.0,3.44,-0.1,25532.1,162.76600000000002,0.95,0.6378,145.8,0.43984000000000006,0.619,4,0.8,33.6036597545126
0.65,50,6,ALL,0.0,0.7,5,0.48278,0.020489436302641408,0.4534,49.804,37.91472049217823,8.88,596501.0,119300.2,15851,3170.2,4.2540000000000004,2.6,7407.0,36.53,4.23,0.6246,177.4,0.36572,0.6132,5,1.0,33.51063975391089
0.65,10,3,NO,0.0,0.7,5,0.49798,0.025107110546616063,0.4601,47.384,34.75744280006802,10.46,719328.0,143865.6,19161,3832.2,4.412000000000001,2.32,9997.9,48.662,4.73,0.6668000000000001,1155.6,0.23152,0.5128,5,1.0,33.14327859996599
0.65,30,6,ALL,0.0,0.7,5,0.48064,0.022098936626000792,0.4484,47.83200000000001,36.560327815816976,8.23,589219.0,117843.8,16335,3267.0,4.232,2.57,9372.1,30.302,3.66,0.6246,206.2,0.3552,0.6020000000000001,5,1.0,32.02083609209152
0.65,10,6,ALL,0.0,0.7,5,0.4805,0.02222059855179425,0.4481,47.730000000000004,36.45840780944774,8.3,588870.0,117774.0,16353,3270.6,4.2219999999999995,2.57,9063.2,29.6,3.67,0.6246,211.2,0.35446,0.601,5,1.0,31.99079609527613
0.65,50,9,NO,0.0,1.0,5,0.70618,0.05755803158552247,0.6144,64.324,69.6383028943124,7.73,314410.0,62882.0,7939,1587.8,4.5920000000000005,2.48,1791.2,60.262,6.43,0.7668,72.4,0.3805,0.6134000000000001,5,1.0,31.823848552843796
0.65,30,9,NO,0.0,1.0,5,0.70622,0.057593289539667754,0.6144,64.322,69.63960704943703,7.73,314425.0,62885.0,7940,1588.0,4.5920000000000005,2.48,1791.2,60.263999999999996,6.43,0.7668,72.6,0.38048000000000004,0.6134000000000001,5,1.0,31.821196475281486
0.65,10,9,NO,0.0,1.0,5,0.70622,0.057593289539667754,0.6144,64.322,69.63960704943703,7.73,314425.0,62885.0,7940,1588.0,4.5920000000000005,2.48,1791.2,60.263999999999996,6.43,0.7668,72.6,0.38048000000000004,0.6134000000000001,5,1.0,31.821196475281486
0.65,50,6,NO,0.0,1.0,5,0.6989,0.04065175272974096,0.65,48.102,38.697452370924886,9.24,611862.0,122372.4,19624,3924.8,4.95,2.45,7189.9,137.68400000000003,13.72,0.7268,177.4,0.41406,0.6422,5,1.0,31.525273814537552
0.6,30,3,NO,0.0,0.5,5,0.30844,0.031392005351681476,0.2791,67.422,70.25792745306397,-3.79,1004263.0,200852.6,19484,3896.8,2.8280000000000003,-1.64,39691.2,46.574,0.58,0.58,917.4,0.20328,0.5068,4,0.8,31.15603627346801
0.6,50,9,ALL,0.0,0.5,5,0.34202,0.05501069895938423,0.2572,135.326,202.16532808570318,-10.93,1065230.0,213046.0,9378,1875.6,2.424,-3.2,36169.9,44.204,0.34,0.5356,110.4,0.47336,0.6502,4,0.8,30.964335957148403
0.6,10,9,ALL,0.0,0.5,5,0.34198,0.05502451271933262,0.2572,135.316,202.17282774893368,-10.93,1065130.0,213026.0,9379,1875.8,2.424,-3.2,36169.9,44.204,0.34,0.5356,110.6,0.47332,0.6502,4,0.8,30.95058612553316
0.6,30,9,ALL,0.0,0.5,5,0.34198,0.05502451271933262,0.2572,135.316,202.17282774893368,-10.93,1065130.0,213026.0,9379,1875.8,2.424,-3.2,36169.9,44.204,0.34,0.5356,110.6,0.47332,0.6502,4,0.8,30.95058612553316
0.65,30,6,NO,0.0,1.0,5,0.69988,0.040506875959520725,0.6505,46.775999999999996,37.272035495797645,9.24,615781.0,123156.2,20195,4039.0,4.886,2.45,7534.3,150.784,14.0,0.7068,206.2,0.40596,0.6328,5,1.0,30.911982252101172
